prompt_name,keywords,prompt_content,prompt_source,language,task_type,Goal,Theme,career
is same event read,Event extraction,"Barbara just finished reading an article titled ""{{headline_a}}"". She then came across another article ""{{headline_b}}"". Is the second article describing the same event as the first article?",promptsource,English,closed-ended question,Informational/Identification,news,news
generate another headline,Generate headline,"Given the headline: ""{{headline_a}}"", what would be another headline for the same event?",promptsource,English,headline generation,Writing/Expression,headline generation,news
is same event describe rel,News relationship,"Which one of the following choices ""{{ answer_choices[0] }}"" or ""{{ answer_choices[1] }}"" best describe the relationship between these two pieces of news?
News Title A: {{headline_a}}
News Title B: {{headline_b}}",promptsource,English,closed-ended question,Informational/Identification,news,news
is same event refer,Headline similarity,"Headline 1: ""{{headline_a}}""
Headline 2: ""{{headline_b}}""
Do they refer to the same event?",promptsource,English,closed-ended question,Informational/Identification,news,news
is same event discuss,Headline similarity,"Both headlines ""{{headline_a}}"" and ""{{headline_b}}"" are discussing the same event.  Do you {{ answer_choices[0] }} or {{ answer_choices[1] }}?",promptsource,English,closed-ended question,Informational/Identification,news,news
is same event replace,Replaceable headlines,"Can ""{{headline_a}}"" replace ""{{headline_b}}""? Here, a headline is replaceable by another headline if the latter headline describes the same event as the former.",promptsource,English,closed-ended question,Informational/Identification,news,news
is same event editor asks,Headline rewrite,"The editor asks James to create a headline that describes the same event as ""{{headline_a}}"". James comes up with ""{{headline_b}}"". Does the new headline satisfy the editor's requirement? Answer {{ answer_choices[0] }} or {{ answer_choices[1] }}.",promptsource,English,reading comprehension,Informational/Identification,headline generation,news
is same event with time affirmative,Paraphrase detection,"On {{date_a}}, the article ""{{headline_a}}"" is published.
On {{date_b}}, the article ""{{headline_b}}"" is published.
Answer {{ answer_choices[0] }} if the second article's headline is a paraphrase of the first; otherwise, answer {{ answer_choices[1] }}.",promptsource,English,closed-ended question,Informational/Identification,paraphrase,news
is same event with time interrogative talk,News event similarity,"Does the headline ""{{headline_a}}"" published on {{date_a}} talk about the same event as ""{{headline_b}}"" published on {{date_b}} ?  Answer {{ answer_choices[0] }} or {{ answer_choices[1] }}.",promptsource,English,closed-ended question,Informational/Identification,news,news
classify question type,Question type,"What is the type of the question ""{{question}}"" {{ answer_choices[0].capitalize() }} or {{answer_choices[1]}}?",promptsource,English,closed-ended question,Informational/Identification,question type,all
know funniness original sent edit word,Rate funny,"I need to know how funny it is to replace ""{{ original[original.index(""<"")+1:original.index(""/>"")] }}"" with ""{{ edit }}"" in the sentence ""{{ original.replace(original[original.index(""<""):original.index("">"")+1], original[original.index(""<"")+1:original.index(""/>"")]) }} "".

Question: Can you give me a number from {{""0.0 to 3.0""}} that denotes how funny it is, where {{""0.0""}} means not funny and {{""3.0""}} means funny?",promptsource,English,closed-ended question,Informational/Identification,humor,humor
know funniness original sent edited sent,Rate funny,"I need to know how funny the edited sentence is compared to the original sentence:
Original: {{ original.replace(original[original.index(""<""):original.index("">"")+1], original[original.index(""<"")+1:original.index(""/>"")]) }}
Edited: {{ original.replace(original[original.index(""<""):original.index("">"")+1], edit) }}
Question: Can you give me a number from {{""0.0 to 3.0""}} that denotes how funny it is, where {{""0.0""}} means not funny and {{""3.0""}} means funny?",promptsource,English,closed-ended question,Rating/Evaluation,humor,all
score original sent edit word,Funniness of edit,"Please give a score between 0 (not funny) and 3 (very funny) denoting the funniness of replacing ""{{ original[original.index(""<"")+1:original.index(""/>"")] }}"" with ""{{ edit }}"" in the sentence ""{{ original.replace(original[original.index(""<""):original.index("">"")+1], original[original.index(""<"")+1:original.index(""/>"")]) }} "".",promptsource,English,rating,Evaluation/Judgement,humor,humor
score original sent edit word low high,Rate a joke,"I need to assign a score from {{""0.0 to 3.0""}} that denotes how funny it is to replace ""{{ original[original.index(""<"")+1:original.index(""/>"")] }}"" with ""{{ edit }}"" in the sentence ""{{ original.replace(original[original.index(""<""):original.index("">"")+1], original[original.index(""<"")+1:original.index(""/>"")]) }} "".
What score should I assign? A low score means not funny whereas a high score means very funny.",promptsource,English,closed-ended question,Rating/Scoring,humor,all
example score original sent edited sent interrogative,Rate the funniness of a sentence,"How funny is the following edited sentence compared to the original sentence?
Original: {{ original.replace(original[original.index(""<""):original.index("">"")+1], original[original.index(""<"")+1:original.index(""/>"")]) }}
Edited: {{ original.replace(original[original.index(""<""):original.index("">"")+1], edit) }}
Your answer should be something like {{""1.5""}}, where {{""0.0 means not funny and 3.0 means funny""}}.",promptsource,English,rating,Rating/Evaluation,humor,all
best shot rate original sent edited sent,Rate funny sentence,"Give your best shot to rate how funny the following edited sentence is compared to the original sentence:
Original: {{ original.replace(original[original.index(""<""):original.index("">"")+1], original[original.index(""<"")+1:original.index(""/>"")]) }}
Edited: {{ original.replace(original[original.index(""<""):original.index("">"")+1], edit) }}
Use a scale of {{""0.0""}}, which denotes not funny, to {{""3.0""}}, which means really hilarious.",promptsource,English,rating,Rating/Evaluation,humor,all
original sent edit words qa id,Humor judgement,"Given an original sentence ""{{ original1.replace(original1[original1.index(""<""):original1.index("">"")+1], original1[original1.index(""<"")+1:original1.index(""/>"")]) }}"", is it more humorous to replace ""{{ original1[original1.index(""<"")+1:original1.index(""/>"")] }}"" with ""{{ edit1 }}"", or to replace ""{{ original2[original2.index(""<"")+1:original2.index(""/>"")] }}"" with ""{{ edit2 }}"", or are both equally hilarious?
{{ answer_choices[1] }}. replace ""{{ original1[original1.index(""<"")+1:original1.index(""/>"")] }}"" with ""{{ edit1 }}""
{{ answer_choices[2] }}. replace ""{{ original2[original2.index(""<"")+1:original2.index(""/>"")] }}"" with ""{{ edit2 }}""
{{ answer_choices[0] }}. both equally hilarious",promptsource,English,closed-ended question,Humor/Appreciation,humor,humor
original sent edited sentences qa id,Humor judgement,"Original sentence: {{ original1.replace(original1[original1.index(""<""):original1.index("">"")+1], original1[original1.index(""<"")+1:original1.index(""/>"")]) }}.
Edited sentence A: {{ original1.replace(original1[original1.index(""<""):original1.index("">"")+1], edit1) }}.
Edited sentence B: {{ original2.replace(original2[original2.index(""<""):original2.index("">"")+1], edit2) }}.
There are two edited sentences based on the original sentence, which is more humorous ({{answer_choices[1]}} or {{answer_choices[2]}}) or are they equally humorous?
{{answer_choices[1]}}. Edited sentence A
{{answer_choices[2]}}. Edited sentence B
{{answer_choices[0]}}. Equal",promptsource,English,closed-ended question,Humor,humor,all
original sent edit words qa strategy id,Humor judgment,"Given an original sentence ""{{ original1.replace(original1[original1.index(""<""):original1.index("">"")+1], original1[original1.index(""<"")+1:original1.index(""/>"")]) }}"", we have two replacement strategies. The first is to replace ""{{ original1[original1.index(""<"")+1:original1.index(""/>"")] }}"" with ""{{ edit1 }}"", and the second is to replace ""{{ original2[original2.index(""<"")+1:original2.index(""/>"")] }}"" with ""{{ edit2 }}"".
Is the first strategy more humorous or the second, or are they equally funny?
{{ answer_choices[1] }}. The first strategy
{{ answer_choices[2] }}. The second strategy
{{ answer_choices[0] }}. Both are equally funny",promptsource,English,closed-ended question,Humor,humor,humor
only edited sentences QA id,Humor judgement,"There are two sentences:
Sentence1: {{ original1.replace(original1[original1.index(""<""):original1.index("">"")+1], edit1) }}
Sentence2: {{ original2.replace(original2[original2.index(""<""):original2.index("">"")+1], edit2) }}
Which sentence is more humorous?
{{ answer_choices[1] }}. Sentence 1
{{ answer_choices[2] }}. Sentence 2
{{ answer_choices[0] }}. Equal",promptsource,English,humor,Writing/Expression,humor,humor
